tradeday,account,ticker,attr
2017-06-16,XLIN01,JD,-0.0018
2017-06-16,XLIN01,KR,0.0145
2017-06-19,XLIN01,JD,0.015503110496692
2017-06-19,XLIN01,KR,0.00864026858892071
2017-06-20,XLIN01,JD,-0.00809911777467097
2017-06-20,XLIN01,KR,-0.0062671744684954
2017-06-21,XLIN01,JD,0.0214233308877476
2017-06-21,XLIN01,KR,-0.000244558571777941
2017-06-22,XLIN01,JD,0.00229907079222148
2017-06-22,XLIN01,KR,0.00455024427627167
2017-06-23,XLIN01,JD,0.0154131582703011
2017-06-23,XLIN01,KR,0.000951429522858094
2017-06-26,XLIN01,JD,0.00121694359934472
2017-06-26,XLIN01,KR,0.000234027615258601
2017-06-27,XLIN01,JD,-0.0223406244157787
2017-06-27,XLIN01,KR,0.00373901663862404
2017-06-28,XLIN01,JD,0.00561958281741118
2017-06-28,XLIN01,KR,0.013810839127536
2017-06-29,XLIN01,JD,-0.0166308511632253
2017-06-29,XLIN01,KR,-0.0025693730729702
2017-06-30,XLIN01,JD,-0.00136602024637151
2017-06-30,XLIN01,KR,0.000195145749481644
2017-07-03,XLIN01,JD,-0.00175837057659902
2017-07-03,XLIN01,KR,0.00505531540772218
2017-07-04,XLIN01,JD,0.0
2017-07-04,XLIN01,KR,0.0
2017-07-05,XLIN01,JD,0.00438148094055791
2017-07-05,XLIN01,KR,-0.00701036950489265
2017-07-06,XLIN01,JD,-0.0031727436911212
2017-07-06,XLIN01,KO,0.000195245765607458
2017-07-06,XLIN01,KR,-0.00219651486308391
2017-07-06,XLIN01,TWTR,-0.000351442378093425
2017-07-07,XLIN01,JD,0.000539909098940797
2017-07-07,XLIN01,KO,-4.90826453582542e-05
2017-07-07,XLIN01,KR,0.000662615712336432
2017-07-07,XLIN01,TWTR,0.000441743808224288
2017-07-10,XLIN01,JD,0.00588053689301833
2017-07-10,XLIN01,KO,-4.90044741084861e-05
2017-07-10,XLIN01,KR,-0.0121286073418503
2017-07-10,XLIN01,TWTR,0.000264624160185825
2017-07-11,XLIN01,JD,0.00192277352685967
2017-07-11,XLIN01,KO,-0.00024650942652047
2017-07-11,XLIN01,KR,0.000443716967736846
2017-07-11,XLIN01,TWTR,0.00248481501932634
2017-07-12,XLIN01,EBAY,-0.000119777897555675
2017-07-12,XLIN01,INTU,9.83889872778762e-05
2017-07-12,XLIN01,JD,0.00269500269500269
2017-07-12,XLIN01,KO,0.00077000077000077
2017-07-12,XLIN01,KR,0.00327250327250327
2017-07-12,XLIN01,TWTR,0.00234850234850235
2017-07-13,XLIN01,EBAY,0.000796998537422897
2017-07-13,XLIN01,INTU,-0.000457850223625919
2017-07-13,XLIN01,JD,-4.23935392246222e-05
2017-07-13,XLIN01,KO,-0.000339148313796977
2017-07-13,XLIN01,KR,0.0022892511181296
2017-07-13,XLIN01,TWTR,0.00026707929711512
2017-07-14,XLIN01,EBAY,0.00072102552014365
2017-07-14,XLIN01,INTU,0.000124792878486401
